monstrose,reading,state college,uniontown,warren,year
110,130,111.2,122.4,115.4,2007
82.1,130,120,104,115,2006
100,110,110,81.5,110,2005
100.5,130,128.8,101.4,88,2004
100,104.9,123.5,81.8,125.4,2003
66.1,70.3,70.9,75.7,67.6,2002
99.3,95.7,117.3,101.8,68.4,2001
125,135,119.8,107.5,125,2000
66,44,80,55,92,1999
85,124,109,88,NA,1998
85,108,88,78,NA,1997
101,124,117,104,113,1996
95,94,83,80,102,1995
106,118,122,106,125,1994
98,96,93,92,99,1993
111,127,117,117,86,1992
76,104,79,67,75,1991
94,120,113,108,100,1990
89,105,93,108,89,1989
85.4,69.4,50,51.3,87,1988
101,95,100,84,111,1987
108,102,113,118,102,1986
95,114,106,125,97,1985
105,108,112,103,91,1984
74,60,79,84,94,1983
96,96,101,99,86,1982
86,92,98,89,90,1981
67,52,86,89,87,1980
